Month,Year,Month_num,PM2.5,City
2023-05,2023,5,3.14,Manila daily Alltime combined
2023-06,2023,6,14.93,Manila daily Alltime combined
2023-08,2023,8,7.8,Manila daily Alltime combined
2023-09,2023,9,20.07,Manila daily Alltime combined
2023-10,2023,10,15.66,Manila daily Alltime combined
2023-11,2023,11,14.76,Manila daily Alltime combined
2023-12,2023,12,12.8,Manila daily Alltime combined
2024-01,2024,1,17.19,Manila daily Alltime combined
2024-02,2024,2,14.66,Manila daily Alltime combined
2024-03,2024,3,16.77,Manila daily Alltime combined
2024-04,2024,4,13.81,Manila daily Alltime combined
2024-05,2024,5,14.44,Manila daily Alltime combined
2024-06,2024,6,28.49,Manila daily Alltime combined
2024-10,2024,10,14.12,Manila daily Alltime combined
2024-11,2024,11,20.09,Manila daily Alltime combined
2024-12,2024,12,20.04,Manila daily Alltime combined
2025-01,2025,1,57.8,Manila daily Alltime combined
